date,KansasCity,Seattle,SanJose,SanFrancisco,Austin,Pittsburgh,Boston,Chicago,NY_NJ,Philadelphia,Columbus
2021-04-01,264.53,428.2,437.98,429.81,440.37,246.77,359.92,204.02,313.62,316.26,240.4
2021-07-01,275.72,449.83,445.33,433.53,484.35,258.21,378.02,210.65,326.63,330.05,252.83
2021-10-01,282.45,463.43,463.34,450.89,501.74,262.2,385.76,214.98,334.09,334.73,258.95
2022-01-01,293.76,487.71,487.03,462.77,526.04,269.03,396.41,221.46,340.35,343,269.81
2022-04-01,314.14,525.52,530.35,508.08,574.37,282.35,421.52,235.1,359.58,355.65,290
2022-07-01,316.36,509.36,507.75,488.88,569.63,285.14,423.94,237.35,361.73,359.81,294.54
2022-10-01,316.81,491.74,516.78,488.83,537.78,281.13,417.81,233.44,360.99,363.69,291.23
2023-01-01,321.55,493.7,502.09,465.31,532.39,282.97,420.29,235.94,361.06,358.22,294.34
2023-04-01,336.83,508.11,523.73,486.32,525.97,297.46,436.14,244.18,371.76,363.89,310.95
2023-07-01,340.85,513.36,542.5,494.76,523.25,301.5,447.84,249.86,378.97,375.73,314.84
2023-10-01,339.46,504.47,543.71,490.23,519.38,300.77,452.75,249.68,385.63,378.15,313.14
2024-01-01,345.22,521.5,552.52,500.51,522.76,301.64,454.51,254.69,388.18,374.03,315.32
2024-04-01,355.29,540.76,564.33,505.18,519.41,312.96,471.74,262.78,404.36,388.38,329.05
